exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
XCBT,ZB,2011,H,,20101221,Y,D,12028,0,1,-1,3,1,2,0,0,0,0,1,-1,6,08d,,X
XCBT,ZB,2011,H,,20101221,Y,A,12028,0,1,-1,3,1,2,0,0,0,0,1,-1,6,08d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,20,3,17,14,33,-19,0,0,0,12,10,2,92,09b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,7,10,-3,19,70,-51,0,0,0,54,0,54,160,10b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,0,6,-6,6,3,3,0,0,0,3,0,3,18,13b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,3,0,3,0,0,0,0,0,0,0,3,-3,6,15c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,0,0,0,0,1,-1,0,0,0,1,0,1,2,21a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12028,0,0,0,0,0,0,0,0,0,1,1,0,2,21b,,X
XCBT,ZB,2011,H,,20101221,Y,A,12028,30,19,11,39,107,-68,0,0,0,71,14,57,280,09b10b13b15c21a21b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,0,3,-3,0,3,-3,0,0,0,10,4,6,20,01a,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,10,6,4,3,67,-64,0,0,0,70,10,60,166,01b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,2,15,-13,6,18,-12,0,0,0,27,2,25,70,01c,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,12,55,-43,29,60,-31,0,0,0,82,8,74,246,01d,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,6,71,-65,152,106,46,0,0,0,64,45,19,444,02a,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,5,0,5,2,0,2,0,0,0,0,7,-7,14,02b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,0,0,0,14,19,-5,0,0,0,8,3,5,44,02d,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,145,53,92,262,372,-110,0,0,0,134,116,18,1082,07b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,13,14,-1,4,0,4,0,0,0,0,3,-3,34,08c,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,610,401,209,1618,1609,9,0,0,0,443,661,-218,5342,08d,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,85,64,21,241,257,-16,0,0,0,52,57,-5,756,09a,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,158,157,1,288,261,27,0,0,0,82,110,-28,1056,09b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,104,65,39,225,318,-93,0,0,0,92,38,54,842,09c,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,307,400,-93,417,734,-317,0,0,0,488,78,410,2424,09d,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,68,165,-97,140,353,-213,0,1,-1,353,42,311,1122,10a,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,321,307,14,677,575,102,0,0,0,79,195,-116,2154,10b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,9,17,-8,198,23,175,0,0,0,38,205,-167,490,13a,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,149,191,-42,507,515,-8,0,1,-1,233,182,51,1778,13b,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,39,11,28,31,40,-9,0,0,0,9,28,-19,158,13c,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,0,0,0,0,0,0,0,0,0,4,4,0,8,17d,,X
XCBT,ZB,2011,H,,20101221,N,D,12029,14,0,14,35,71,-36,0,0,0,45,23,22,188,20a,,X
XCBT,ZB,2011,H,,20101221,N,A,12029,2057,1995,62,4849,5401,-552,0,2,-2,2313,1821,492,18438,01a01b01c01d02a02b02d07b08c08d09a09b09c09d10a10b13a13b13c17d20a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,3,-3,3,0,3,0,0,0,0,0,0,6,01d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,3,22,-19,33,16,17,0,0,0,3,1,2,78,07b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,1,-1,14,14,0,0,0,0,7,6,1,42,08d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,0,0,9,203,-194,0,0,0,194,0,194,406,09a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,8,0,8,2,16,-14,0,0,0,6,0,6,32,09b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,3,12,-9,9,0,9,0,0,0,0,0,0,24,09c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,3,-3,3,3,0,0,0,0,3,0,3,12,09d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,35,65,-30,30,0,30,0,0,0,30,30,0,190,10b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,0,0,1,0,1,0,0,0,0,1,-1,2,13a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12029,0,0,0,0,3,-3,0,0,0,3,0,3,6,13b,,X
XCBT,ZB,2011,H,,20101221,Y,A,12029,49,106,-57,104,255,-151,0,0,0,246,38,208,798,01d07b08d09a09b09c09d10b13a13b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,20,26,-6,9,18,-9,0,0,0,40,25,15,138,01c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,9,11,-2,52,54,-2,0,0,0,10,6,4,142,01d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,94,63,31,33,32,1,0,0,0,14,46,-32,282,02a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,49,74,-25,106,79,27,0,0,0,17,19,-2,344,02b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,24,0,24,12,1,11,0,0,0,3,38,-35,78,02c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,26,37,-11,25,12,13,0,0,0,4,6,-2,110,02d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,0,0,0,3,0,3,0,0,0,0,3,-3,6,03a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,101,96,5,177,161,16,0,0,0,148,169,-21,852,07b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,2,1,1,0,0,0,0,0,0,1,2,-1,6,08b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,77,69,8,68,75,-7,0,0,0,42,43,-1,374,08c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,285,330,-45,608,659,-51,0,0,0,294,198,96,2374,08d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,270,301,-31,574,561,13,0,0,0,128,110,18,1944,09a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,167,47,120,275,133,142,0,0,0,30,292,-262,944,09b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,126,155,-29,209,225,-16,0,0,0,157,112,45,984,09c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,547,719,-172,753,941,-188,0,0,0,599,239,360,3798,09d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,267,270,-3,588,694,-106,0,0,0,328,219,109,2366,10a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,39,72,-33,82,113,-31,0,0,0,89,25,64,420,10b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,79,100,-21,170,105,65,0,0,0,41,85,-44,580,13a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,0,9,-9,0,6,-6,0,0,0,15,0,15,30,13b,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,301,422,-121,794,643,151,0,0,0,206,236,-30,2602,13c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,1,20,-19,7,2,5,0,0,0,37,23,14,90,17c,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,0,11,-11,11,4,7,0,0,0,47,43,4,116,17d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,0,0,0,0,0,0,0,0,0,6,6,0,12,18a,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,0,0,0,0,1,-1,0,0,0,32,31,1,64,19d,,X
XCBT,ZB,2011,H,,20101221,N,D,12030,2,0,2,6,23,-17,0,0,0,43,28,15,102,20a,,X
XCBT,ZB,2011,H,,20101221,N,A,12030,2486,2833,-347,4562,4542,20,0,0,0,2331,2004,327,18758,01c01d02a02b02c02d03a07b08b08c08d09a09b09c09d10a10b13a13b13c17c17d18a19d20a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,2,0,2,0,4,-4,0,0,0,2,0,2,8,07b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,0,0,0,0,6,-6,0,0,0,9,3,6,18,08c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,0,0,0,0,6,-6,0,0,0,6,0,6,12,08d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,1,0,1,9,715,-706,0,0,0,705,0,705,1430,09a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,7,4,3,9,12,-3,0,0,0,0,0,0,32,09b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,16,3,13,4,20,-16,0,0,0,3,0,3,46,09c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,0,0,0,8,9,-1,0,0,0,1,0,1,18,09d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,1,0,1,3,4,-1,0,0,0,3,3,0,14,10a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12030,0,0,0,0,3,-3,0,0,0,3,0,3,6,19d,,X
XCBT,ZB,2011,H,,20101221,Y,A,12030,27,7,20,33,779,-746,0,0,0,732,6,726,1584,07b08c08d09a09b09c09d10a19d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,34,29,5,47,26,21,0,0,0,7,33,-26,176,01c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,20,6,14,56,61,-5,0,0,0,5,14,-9,162,01d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,95,56,39,131,136,-5,0,0,0,65,99,-34,582,02a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,9,30,-21,6,1,5,0,0,0,32,16,16,94,02b,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,53,30,23,53,52,1,0,0,0,0,24,-24,212,02c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,20,43,-23,20,0,20,0,0,0,9,6,3,98,02d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,21,0,21,16,2,14,0,0,0,12,47,-35,98,03a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,233,186,47,223,242,-19,1,0,1,288,317,-29,1490,07b,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,23,0,23,42,50,-8,0,0,0,4,19,-15,138,07c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,42,28,14,80,97,-17,0,0,0,56,53,3,356,08b,,X
